content_id,campaign_id,channel,content_text,tone,cta,compliance_risk,language,character_count,has_link,has_offer_amount,created_date,version,ab_variant
CNT90050,CMP15548,Call Center,Senior Citizen Savings Account: Higher interest rates + priority banking services.,Urgent,Limited Time Offer,Low,Bengali,82,False,False,2025-12-31,1,A
CNT90051,CMP13173,Call Center,Get instant personal loans up to ₹50L at just 12.3% p.a.! No collateral needed. Apply now: bit.ly/bank-offer,Personalized,Know More,Low,Hindi,108,True,True,2025-02-07,3,A
CNT90052,CMP17417,WhatsApp,Your account review is pending. Visit nearest branch for premium benefits.,Urgent,Download App,Low,Tamil,74,False,False,2025-03-29,2,B
CNT90053,CMP13819,Push Notification,Term insurance with ₹1Cr cover at just ₹62/month. No medical tests required!,Informational,Get Started,Low,English,76,False,True,2023-03-07,2,Control
CNT90054,CMP15192,Email,Congratulations! You're pre-approved for multiple products. Check eligibility now!,Reminder,Get Started,Low,Telugu,82,False,False,2024-03-19,3,A
CNT90055,CMP18512,Push Notification,Your account review is pending. Visit nearest branch for premium benefits.,Urgent,Apply Now,Medium,English,74,False,False,2024-02-07,3,C
CNT90056,CMP17396,SMS,Congratulations! You're pre-approved for multiple products. Check eligibility now!,Festive,Visit Branch,Low,Hindi,82,False,False,2023-11-12,4,B
CNT90057,CMP19669,Push Notification,Secure your family's future! Life insurance at ₹39/day. Get covered now.,Reminder,Book Appointment,Low,Tamil,72,False,True,2023-08-03,1,A
CNT90058,CMP16087,Call Center,NFO Alert: New fund launch with excellent growth potential. Invest early!,Reminder,Download App,Low,English,73,False,False,2026-02-19,1,C
CNT90059,CMP12444,Call Center,Flexi FD with premature withdrawal facility. Best rates guaranteed!,Personalized,Enroll Now,High,English,67,False,False,2025-05-22,2,C
CNT90060,CMP14323,Email,Banking made easy! Download our app for seamless transactions & exclusive offers.,Informational,Book Appointment,Low,English,81,False,False,2023-05-16,3,C
CNT90061,CMP16299,Call Center,Open Zero Balance Savings Account online in 5 minutes! Earn up to 16.4% interest.,Reminder,Apply Now,Low,English,81,False,False,2023-06-19,5,A
CNT90062,CMP19921,SMS,Banking made easy! Download our app for seamless transactions & exclusive offers.,Festive,Download App,Low,English,81,False,False,2023-08-22,2,Control
CNT90063,CMP15885,WhatsApp,Banking made easy! Download our app for seamless transactions & exclusive offers.,Personalized,Activate Now,Low,English,81,False,False,2026-01-03,5,C
CNT90064,CMP17774,Email,Your account review is pending. Visit nearest branch for premium benefits.,Urgent,Call Us,Low,Telugu,74,False,False,2023-03-28,5,A
CNT90065,CMP14803,WhatsApp,Senior Citizen FD: Extra 0.31% interest rate. Lock in high returns today!,Educational,Book Appointment,Low,Marathi,73,False,False,2023-06-16,4,A
CNT90066,CMP13335,Email,Secure your family's future! Life insurance at ₹99/day. Get covered now.,Reminder,Upgrade Today,Low,English,72,False,True,2025-03-20,1,Control
CNT90067,CMP10651,Email,Congratulations! You're pre-approved for multiple products. Check eligibility now!,Informational,Activate Now,Low,Tamil,82,False,False,2026-04-26,5,B
CNT90068,CMP15553,Email,Exclusive offer for our valued customers! 19% off on all products this festive season.,Festive,Get Started,Low,Tamil,86,False,False,2024-07-21,5,C
CNT90069,CMP13856,Email,Your account review is pending. Visit nearest branch for premium benefits.,Promotional,Apply Now,Low,Hindi,74,False,False,2025-07-03,5,Control
CNT90070,CMP14777,Call Center,Congratulations! You're pre-approved for multiple products. Check eligibility now!,Promotional,Call Us,Low,Kannada,82,False,False,2026-02-18,1,A
CNT90071,CMP15488,Call Center,Dream home within reach! Home loan at 11.1% p.a. + zero processing fee.,Informational,Call Us,Low,English,71,False,False,2024-07-23,1,A
CNT90072,CMP18601,SMS,Congratulations! You're pre-approved for multiple products. Check eligibility now!,Informational,Get Started,Low,English,82,False,False,2025-02-19,5,Control
CNT90073,CMP18374,Push Notification,Activate your new credit card and get ₹1092 cashback on first transaction!,Promotional,Claim Offer,Low,Tamil,74,False,True,2026-04-12,1,Control
CNT90074,CMP12828,Push Notification,Secure your family's future! Life insurance at ₹81/day. Get covered now.,Personalized,Enroll Now,Low,English,72,False,True,2023-01-12,5,Control
CNT90075,CMP17272,SMS,Your account review is pending. Visit nearest branch for premium benefits.,Urgent,Activate Now,Medium,Tamil,74,False,False,2024-10-27,5,Control
CNT90076,CMP12347,SMS,Exclusive offer for our valued customers! 20% off on all products this festive season.,Educational,Check Eligibility,Low,English,86,False,False,2023-05-07,1,A
CNT90077,CMP15259,SMS,Flexi FD with premature withdrawal facility. Best rates guaranteed!,Promotional,Check Eligibility,Medium,English,67,False,False,2025-05-30,4,A
CNT90078,CMP10639,Push Notification,Your account review is pending. Visit nearest branch for premium benefits.,Informational,Claim Offer,Low,English,74,False,False,2025-11-03,2,A
CNT90079,CMP11593,Push Notification,Your account review is pending. Visit nearest branch for premium benefits.,Educational,Claim Offer,Low,Hindi,74,False,False,2024-10-13,1,A
CNT90080,CMP16485,Push Notification,Your portfolio review is due. Book free consultation with our expert.,Informational,Get Started,Low,Hindi,69,False,False,2024-11-18,2,B
CNT90081,CMP16476,WhatsApp,Exclusive offer for our valued customers! 10% off on all products this festive season.,Festive,Apply Now,Low,Hindi,86,False,False,2025-05-31,4,Control
CNT90082,CMP12608,Call Center,Exclusive offer for our valued customers! 7% off on all products this festive season.,Urgent,Claim Offer,Low,English,85,False,False,2024-12-23,2,C
CNT90083,CMP14879,SMS,Your account review is pending. Visit nearest branch for premium benefits.,Urgent,Apply Now,Low,English,74,False,False,2025-07-03,4,B
CNT90084,CMP10540,WhatsApp,Banking made easy! Download our app for seamless transactions & exclusive offers.,Reminder,Upgrade Today,Low,English,81,False,False,2025-10-21,4,C
CNT90085,CMP18051,Email,Exclusive: Your credit limit increased to ₹6L! Enjoy more shopping freedom.,Promotional,Apply Now,Medium,Kannada,75,False,True,2024-05-01,5,Control
CNT90086,CMP14134,Push Notification,Congratulations! You're pre-approved for multiple products. Check eligibility now!,Educational,Limited Time Offer,Low,English,82,False,False,2023-12-11,1,C
CNT90087,CMP17439,Email,Critical illness cover: Protect against 40+ diseases. Premium starting ₹68/month.,Informational,Upgrade Today,Low,English,81,False,True,2026-01-19,4,Control
CNT90088,CMP10315,Push Notification,Exclusive offer for our valued customers! 14% off on all products this festive season.,Urgent,Enroll Now,Low,English,86,False,False,2025-12-26,1,C
CNT90089,CMP17953,Email,Exclusive: Your credit limit increased to ₹8L! Enjoy more shopping freedom.,Reminder,Call Us,Low,English,75,False,True,2024-10-01,3,A
CNT90090,CMP12526,Call Center,Congratulations! You're pre-approved for multiple products. Check eligibility now!,Educational,Apply Now,Low,English,82,False,False,2024-02-21,4,A
CNT90091,CMP10442,Email,Your account review is pending. Visit nearest branch for premium benefits.,Personalized,Know More,Low,Hindi,74,False,False,2024-04-08,3,C
CNT90092,CMP14198,SMS,Banking made easy! Download our app for seamless transactions & exclusive offers.,Personalized,Limited Time Offer,Low,Hindi,81,False,False,2023-04-22,3,Control
CNT90093,CMP14993,Push Notification,Congratulations! You're pre-approved for multiple products. Check eligibility now!,Urgent,Apply Now,Low,Hindi,82,False,False,2024-02-18,3,A
CNT90094,CMP17110,Call Center,Banking made easy! Download our app for seamless transactions & exclusive offers.,Educational,Know More,Low,English,81,False,False,2024-06-13,4,C
CNT90095,CMP10861,Call Center,Your account review is pending. Visit nearest branch for premium benefits.,Festive,Know More,Low,English,74,False,False,2026-04-08,4,C
CNT90096,CMP13387,WhatsApp,Flash Sale! Get 18% cashback on all online purchases this weekend!,Educational,Know More,Low,English,66,False,False,2025-12-22,5,B
CNT90097,CMP16308,Email,Flash Sale! Get 6% cashback on all online purchases this weekend!,Educational,Call Us,Low,Marathi,65,False,False,2026-03-15,4,A
CNT90098,CMP10666,WhatsApp,Banking made easy! Download our app for seamless transactions & exclusive offers.,Reminder,Enroll Now,Low,Hindi,81,False,False,2024-04-11,4,A
CNT90099,CMP12569,Push Notification,Activate your new credit card and get ₹1231 cashback on first transaction!,Informational,Apply Now,Low,Bengali,74,False,True,2024-07-02,5,B
CNT90100,CMP10681,Push Notification,Exclusive offer for our valued customers! 19% off on all products this festive season.,Educational,Visit Branch,Low,Hindi,86,False,False,2024-08-29,4,C
CNT90101,CMP14033,SMS,Congratulations! You're pre-approved for multiple products. Check eligibility now!,Informational,Know More,Low,English,82,False,False,2024-09-22,4,A
CNT90102,CMP16623,Call Center,Start SIP with just ₹500/month! Build wealth systematically. Invest now.,Personalized,Claim Offer,Low,Hindi,72,False,True,2026-04-15,5,A
CNT90103,CMP12645,SMS,Banking made easy! Download our app for seamless transactions & exclusive offers.,Personalized,Enroll Now,Low,Kannada,81,False,False,2024-01-21,5,B
CNT90104,CMP14024,Email,Health insurance renewal due: Upgrade plan for better coverage at same premium!,Festive,Visit Branch,Low,Marathi,79,False,False,2025-11-09,2,C
CNT90105,CMP19863,WhatsApp,Activate your new credit card and get ₹714 cashback on first transaction!,Promotional,Limited Time Offer,Low,Telugu,73,False,True,2024-08-31,1,Control
CNT90106,CMP13688,Email,Credit Card bill payment due? Convert to easy EMI at 0% interest for 3 months.,Informational,Know More,Low,English,78,False,False,2025-08-12,2,C
CNT90107,CMP13544,Call Center,Congratulations! You're pre-approved for multiple products. Check eligibility now!,Festive,Get Started,Low,English,82,False,False,2023-04-26,4,C
CNT90108,CMP19346,Push Notification,Exclusive offer for our valued customers! 17% off on all products this festive season.,Educational,Check Eligibility,Low,English,86,False,False,2025-07-22,1,A
CNT90109,CMP16167,SMS,Exclusive offer for our valued customers! 24% off on all products this festive season.,Promotional,Limited Time Offer,Low,Bengali,86,False,False,2024-11-19,1,Control
CNT90110,CMP12287,Email,Term insurance with ₹1Cr cover at just ₹51/month. No medical tests required!,Festive,Apply Now,Low,Marathi,76,False,True,2024-01-25,5,A
CNT90111,CMP14433,SMS,Tax-saving ELSS funds: Save taxes + grow wealth. Invest before deadline!,Informational,Limited Time Offer,Low,English,72,False,False,2023-04-22,2,Control
CNT90112,CMP11943,Push Notification,Your account review is pending. Visit nearest branch for premium benefits.,Urgent,Limited Time Offer,Medium,Telugu,74,False,False,2023-07-01,3,A
CNT90113,CMP17101,SMS,Exclusive: Your credit limit increased to ₹9L! Enjoy more shopping freedom.,Informational,Enroll Now,Low,Tamil,75,False,True,2026-03-12,4,Control
CNT90114,CMP15337,Email,Upgrade to our Premium Credit Card and get 2X reward points + airport lounge access!,Reminder,Claim Offer,Low,English,84,False,False,2024-08-30,3,Control
CNT90115,CMP19105,SMS,Banking made easy! Download our app for seamless transactions & exclusive offers.,Reminder,Visit Branch,Low,English,81,False,False,2024-11-30,2,B
CNT90116,CMP12950,SMS,Secure your family's future! Life insurance at ₹59/day. Get covered now.,Educational,Claim Offer,Low,Tamil,72,False,True,2026-04-15,2,C
CNT90117,CMP19352,SMS,Your account review is pending. Visit nearest branch for premium benefits.,Festive,Upgrade Today,Low,English,74,False,False,2025-12-21,3,B
CNT90118,CMP12829,WhatsApp,Exclusive offer for our valued customers! 24% off on all products this festive season.,Personalized,Check Eligibility,Low,Hindi,86,False,False,2025-11-11,4,Control
CNT90119,CMP18924,Call Center,Health insurance renewal due: Upgrade plan for better coverage at same premium!,Urgent,Upgrade Today,Low,English,79,False,False,2026-04-12,3,B
CNT90120,CMP11269,Push Notification,Exclusive offer for our valued customers! 25% off on all products this festive season.,Promotional,Check Eligibility,Low,English,86,False,False,2024-01-14,5,B
CNT90121,CMP14743,Call Center,Exclusive offer for our valued customers! 22% off on all products this festive season.,Promotional,Book Appointment,Medium,Hindi,86,False,False,2025-07-04,2,Control
CNT90122,CMP18000,Push Notification,"Dear Customer, your pre-approved loan of ₹23L is ready. Interest starting 15.2% p.a. Apply today!",Personalized,Check Eligibility,Low,Hindi,97,False,True,2026-04-01,3,Control
CNT90123,CMP19240,Push Notification,Dream home within reach! Home loan at 15.1% p.a. + zero processing fee.,Urgent,Visit Branch,Low,Marathi,71,False,False,2024-10-29,4,B
CNT90124,CMP19081,Email,Congratulations! You're pre-approved for multiple products. Check eligibility now!,Reminder,Download App,Low,Telugu,82,False,False,2024-03-17,2,B
CNT90125,CMP11151,Push Notification,Your account review is pending. Visit nearest branch for premium benefits.,Promotional,Download App,Low,English,74,False,False,2023-05-22,5,B
CNT90126,CMP15855,Push Notification,Open Zero Balance Savings Account online in 5 minutes! Earn up to 14.9% interest.,Promotional,Call Us,Medium,Hindi,81,False,False,2024-10-06,1,C
CNT90127,CMP13818,Push Notification,Banking made easy! Download our app for seamless transactions & exclusive offers.,Personalized,Know More,Low,Kannada,81,False,False,2026-03-07,5,A
CNT90128,CMP17269,Call Center,Upgrade to our Premium Credit Card and get 3X reward points + airport lounge access!,Personalized,Activate Now,Low,English,84,False,False,2026-04-08,2,Control
CNT90129,CMP16002,SMS,Exclusive offer for our valued customers! 7% off on all products this festive season.,Personalized,Know More,Low,English,85,False,False,2025-09-20,1,Control
CNT90130,CMP15029,Email,Exclusive: Your credit limit increased to ₹8L! Enjoy more shopping freedom.,Educational,Upgrade Today,Low,Hindi,75,False,True,2026-02-14,4,A
CNT90131,CMP18561,SMS,Banking made easy! Download our app for seamless transactions & exclusive offers.,Educational,Claim Offer,Low,Hindi,81,False,False,2024-08-25,4,A
CNT90132,CMP15399,Call Center,Exclusive offer for our valued customers! 6% off on all products this festive season.,Personalized,Call Us,Low,Hindi,85,False,False,2025-11-14,1,Control
CNT90133,CMP16150,WhatsApp,Congratulations! You're pre-approved for multiple products. Check eligibility now!,Educational,Enroll Now,Low,Hindi,82,False,False,2024-07-05,3,B
CNT90134,CMP12963,WhatsApp,Congratulations! You're pre-approved for multiple products. Check eligibility now!,Personalized,Book Appointment,Low,English,82,False,False,2023-05-21,4,C
CNT90135,CMP18716,Email,Banking made easy! Download our app for seamless transactions & exclusive offers.,Reminder,Visit Branch,Low,Bengali,81,False,False,2024-05-18,1,B
CNT90136,CMP19556,Email,Congratulations! You're pre-approved for multiple products. Check eligibility now!,Urgent,Know More,Low,Hindi,82,False,False,2023-10-05,1,Control
CNT90137,CMP12497,Email,Home loan balance transfer: Save up to ₹8L on interest!,Urgent,Claim Offer,Low,Hindi,55,False,True,2025-10-13,1,Control
CNT90138,CMP10225,Call Center,Term insurance with ₹1Cr cover at just ₹15/month. No medical tests required!,Urgent,Book Appointment,Low,English,76,False,True,2024-11-09,2,B
CNT90139,CMP19806,Call Center,Tax-saving ELSS funds: Save taxes + grow wealth. Invest before deadline!,Reminder,Check Eligibility,Low,English,72,False,False,2025-07-24,4,A
CNT90140,CMP16746,Email,Open Zero Balance Savings Account online in 5 minutes! Earn up to 14.2% interest.,Informational,Upgrade Today,Low,Hindi,81,False,False,2026-04-03,5,A
CNT90141,CMP15096,Push Notification,Exclusive offer for our valued customers! 7% off on all products this festive season.,Educational,Know More,Low,Kannada,85,False,False,2023-01-11,1,B
CNT90142,CMP14190,WhatsApp,Exclusive offer for our valued customers! 13% off on all products this festive season.,Urgent,Claim Offer,Low,English,86,False,False,2025-07-30,2,C
CNT90143,CMP13179,Call Center,Dream home within reach! Home loan at 15.2% p.a. + zero processing fee.,Reminder,Apply Now,Low,English,71,False,False,2024-12-31,5,Control
CNT90144,CMP16957,Email,Your account review is pending. Visit nearest branch for premium benefits.,Urgent,Download App,Medium,English,74,False,False,2024-07-20,4,C
CNT90145,CMP19827,Email,Banking made easy! Download our app for seamless transactions & exclusive offers.,Personalized,Get Started,Low,Hindi,81,False,False,2025-09-13,1,C
CNT90146,CMP12064,WhatsApp,Health insurance renewal due: Upgrade plan for better coverage at same premium!,Festive,Limited Time Offer,Low,English,79,False,False,2023-01-06,3,B
CNT90147,CMP13369,Email,Get instant personal loans up to ₹50L at just 9.2% p.a.! No collateral needed. Apply now: bit.ly/bank-offer,Educational,Get Started,Low,Hindi,107,True,True,2023-10-14,2,C
CNT90148,CMP10793,Push Notification,Exclusive offer for our valued customers! 18% off on all products this festive season.,Festive,Upgrade Today,Low,English,86,False,False,2023-10-12,3,Control
CNT90149,CMP10014,WhatsApp,Exclusive offer for our valued customers! 10% off on all products this festive season.,Personalized,Apply Now,Low,Marathi,86,False,False,2023-04-17,5,A
CNT90150,CMP17673,Call Center,Special home loan rates for women borrowers: 9.7% p.a. Apply today!,Reminder,Book Appointment,Low,Bengali,67,False,False,2023-05-04,4,C
CNT90151,CMP19225,SMS,Exclusive offer for our valued customers! 25% off on all products this festive season.,Educational,Visit Branch,Low,Telugu,86,False,False,2024-08-09,2,C
CNT90152,CMP19939,Email,Congratulations! You're pre-approved for multiple products. Check eligibility now!,Urgent,Book Appointment,Low,Marathi,82,False,False,2025-10-28,5,Control
CNT90153,CMP10319,Email,Your account review is pending. Visit nearest branch for premium benefits.,Informational,Upgrade Today,Low,Bengali,74,False,False,2023-08-06,4,B
CNT90154,CMP19087,Call Center,Congratulations! You're pre-approved for multiple products. Check eligibility now!,Urgent,Activate Now,Low,Hindi,82,False,False,2023-07-23,3,A
CNT90155,CMP14912,Push Notification,Your account review is pending. Visit nearest branch for premium benefits.,Promotional,Claim Offer,Low,Hindi,74,False,False,2024-04-28,4,B
CNT90156,CMP19956,WhatsApp,Exclusive offer for our valued customers! 15% off on all products this festive season.,Promotional,Claim Offer,Low,Telugu,86,False,False,2026-02-01,5,B
CNT90157,CMP19141,Email,Secure your family's future! Life insurance at ₹61/day. Get covered now.,Urgent,Upgrade Today,Low,English,72,False,True,2024-01-20,4,A
CNT90158,CMP18290,WhatsApp,Senior Citizen Savings Account: Higher interest rates + priority banking services.,Promotional,Know More,Low,Kannada,82,False,False,2024-03-24,1,Control
CNT90159,CMP16813,Push Notification,Banking made easy! Download our app for seamless transactions & exclusive offers.,Reminder,Limited Time Offer,Low,Hindi,81,False,False,2026-04-03,2,Control
CNT90160,CMP10531,WhatsApp,Health insurance renewal due: Upgrade plan for better coverage at same premium!,Promotional,Download App,Low,English,79,False,False,2023-12-12,1,A
CNT90161,CMP14434,Email,Senior Citizen Savings Account: Higher interest rates + priority banking services.,Personalized,Upgrade Today,Low,Telugu,82,False,False,2024-02-21,3,Control
CNT90162,CMP19436,Email,Banking made easy! Download our app for seamless transactions & exclusive offers.,Personalized,Get Started,Low,English,81,False,False,2023-06-15,4,A
CNT90163,CMP11606,SMS,Secure your family's future! Life insurance at ₹57/day. Get covered now.,Reminder,Know More,Low,English,72,False,True,2024-08-07,2,A
CNT90164,CMP18985,SMS,Exclusive offer for our valued customers! 19% off on all products this festive season.,Educational,Visit Branch,Low,Hindi,86,False,False,2023-03-07,2,A
CNT90165,CMP16857,Email,Banking made easy! Download our app for seamless transactions & exclusive offers.,Festive,Book Appointment,Low,Kannada,81,False,False,2025-04-02,1,B
CNT90166,CMP15344,Call Center,Congratulations! You're pre-approved for multiple products. Check eligibility now!,Festive,Visit Branch,Low,English,82,False,False,2024-12-14,3,B
CNT90167,CMP13797,Push Notification,Exclusive offer for our valued customers! 12% off on all products this festive season.,Promotional,Limited Time Offer,Low,English,86,False,False,2023-03-13,2,A
CNT90168,CMP10122,SMS,Pre-approved home loan up to ₹26Cr waiting for you. Check now!,Festive,Know More,Low,Hindi,62,False,True,2024-02-16,3,Control
CNT90169,CMP12067,SMS,Health insurance renewal due: Upgrade plan for better coverage at same premium!,Reminder,Call Us,Low,English,79,False,False,2024-05-17,2,B
CNT90170,CMP11973,Push Notification,Banking made easy! Download our app for seamless transactions & exclusive offers.,Educational,Get Started,Low,English,81,False,False,2025-01-14,5,Control
CNT90171,CMP19455,Push Notification,Exclusive offer for our valued customers! 11% off on all products this festive season.,Urgent,Activate Now,Medium,Hindi,86,False,False,2023-11-15,4,Control
CNT90172,CMP17239,WhatsApp,Your account review is pending. Visit nearest branch for premium benefits.,Informational,Limited Time Offer,Low,English,74,False,False,2025-12-09,2,C
CNT90173,CMP14216,Push Notification,Banking made easy! Download our app for seamless transactions & exclusive offers.,Festive,Call Us,Low,English,81,False,False,2023-01-15,5,C
