feedback_id,campaign_id,feedback_text,sentiment,sentiment_score,issue_category,severity,feedback_source,feedback_date,resolution_status,response_time_hours,customer_segment,channel_of_campaign,repeat_complaint,escalation_required
FB30056,CMP16173,Your WhatsApp banking is very convenient. Love the quick response!,Positive,0.8,Appreciation,Low,Chatbot,2023-05-08,Closed,56.0,NRI Customers,Push Notification,False,False
FB30057,CMP13661,Your WhatsApp Business messages are too frequent. Considering blocking!,Very Negative,-0.75,Technical Issues,High,Call Center,2024-12-19,Resolved,,Dormant Account Holders,WhatsApp,True,True
FB30058,CMP16075,General inquiry about the campaign offer.,Neutral,0.15,General Inquiry,Low,Chatbot,2024-02-07,Open,52.0,Mass Affluent,Push Notification,False,False
FB30059,CMP15847,General inquiry about the campaign offer.,Neutral,0.0,General Inquiry,Low,Call Center,2025-10-09,Escalated,,Low-Balance Customers,SMS,False,False
FB30060,CMP17478,I'm not interested in loans but keep getting loan offers. Wrong targeting!,Negative,-0.22,Misleading Information,Medium,Email,2026-01-24,Closed,28.0,Dormant Account Holders,Call Center,True,False
FB30061,CMP12121,Your push notification timing is terrible. Getting messages at midnight!,Negative,-0.3,Hidden Charges,Critical,Chatbot,2023-02-15,In Progress,111.0,Students,Email,False,True
FB30062,CMP15122,The app notification for bill payment reminder was helpful. Avoided late fee!,Positive,0.44,Appreciation,Low,Chatbot,2024-10-02,Open,156.0,Senior Citizens,Email,True,False
FB30063,CMP13354,Loan processing fee was higher than mentioned in campaign. Please clarify!,Very Negative,-0.77,Aggressive Sales,High,Email,2023-07-10,Closed,46.0,Students,SMS,False,True
FB30064,CMP13216,General inquiry about the campaign offer.,Neutral,0.09,General Inquiry,Low,Email,2023-08-09,In Progress,11.0,Salaried Gen-Z,Call Center,True,False
FB30065,CMP17511,The cashback promised in campaign never got credited. Follow up required.,Very Negative,-0.88,Privacy Concerns,High,Survey,2023-06-09,Open,101.0,Dormant Account Holders,Call Center,True,True
FB30066,CMP19813,The cashback promised in campaign never got credited. Follow up required.,Negative,-0.28,App Issues,Medium,Chatbot,2025-01-17,In Progress,,Mass Affluent,WhatsApp,True,False
FB30067,CMP19590,Received 5 promotional messages today alone. This is harassment!,Negative,-0.1,Aggressive Sales,Medium,Social Media,2024-10-16,In Progress,15.0,Dormant Account Holders,Call Center,True,False
FB30068,CMP13804,Your WhatsApp Business messages are too frequent. Considering blocking!,Very Negative,-0.58,App Issues,High,Chatbot,2023-04-28,Escalated,,HNI Customers,Email,True,True
FB30069,CMP19662,Your WhatsApp banking is very convenient. Love the quick response!,Positive,0.35,Appreciation,Low,Email,2024-09-01,Resolved,39.0,First-Time Borrowers,Call Center,True,False
FB30070,CMP13626,The cashback promised in campaign never got credited. Follow up required.,Negative,-0.2,Spam/Excessive Messages,High,Chatbot,2025-04-14,Escalated,,Mass Affluent,Email,False,True
FB30071,CMP15101,The offer expired but I still received promotional SMS for it. Waste of time!,Very Negative,-0.95,Aggressive Sales,High,Chatbot,2023-02-18,Open,14.0,Salaried Millennials,SMS,True,True
FB30072,CMP11791,Received personalized offer matching my needs. Good targeting!,Positive,0.43,Appreciation,Low,App Review,2025-09-16,Resolved,,Retired Professionals,Call Center,True,False
FB30073,CMP15454,General inquiry about the campaign offer.,Neutral,0.26,General Inquiry,Low,Branch,2024-12-10,Resolved,49.0,Government Employees,Email,True,False
FB30074,CMP17654,Your WhatsApp Business messages are too frequent. Considering blocking!,Negative,-0.25,Service Delay,Low,Call Center,2024-09-25,Resolved,5.0,Women Professionals,Call Center,False,False
FB30075,CMP15968,Credit limit mentioned in message doesn't match my actual approved limit.,Very Negative,-0.42,Unclear Terms,Medium,Email,2026-01-03,In Progress,61.0,Government Employees,SMS,False,False
FB30076,CMP14622,Timely SMS about FD rate increase helped me invest at the right time. Thanks!,Positive,0.96,Appreciation,Low,Call Center,2025-07-17,Closed,62.0,Premium Card Holders,Email,False,False
FB30077,CMP16161,I'm not interested in loans but keep getting loan offers. Wrong targeting!,Very Negative,-0.6,Unclear Terms,High,Chatbot,2026-04-18,Escalated,21.0,Low-Balance Customers,WhatsApp,True,True
FB30078,CMP17910,I'm not interested in loans but keep getting loan offers. Wrong targeting!,Negative,-0.1,Irrelevant Offers,High,Branch,2024-03-04,Resolved,100.0,Healthcare Workers,Email,True,True
FB30079,CMP17609,Your executive called me during office hours for loan offer. Very unprofessional!,Very Negative,-0.6,App Issues,High,Email,2025-04-14,Escalated,50.0,NRI Customers,Call Center,True,True
FB30080,CMP19676,Your app showed pre-approved loan but branch rejected. False advertising!,Negative,-0.03,Service Delay,Medium,Survey,2023-08-04,Closed,,NRI Customers,WhatsApp,True,False
FB30081,CMP14396,Promotional message language was different from my preference. Update records!,Negative,-0.17,Service Delay,Low,Branch,2025-11-26,Open,165.0,Retired Professionals,WhatsApp,False,False
FB30082,CMP15814,Received 5 promotional messages today alone. This is harassment!,Negative,-0.11,Privacy Concerns,Medium,Email,2025-10-23,Closed,16.0,Government Employees,Call Center,False,False
FB30083,CMP18193,Your executive called me during office hours for loan offer. Very unprofessional!,Negative,-0.21,Aggressive Sales,Low,App Review,2024-12-12,Escalated,117.0,Women Professionals,Push Notification,False,False
FB30084,CMP19615,The offer expired but I still received promotional SMS for it. Waste of time!,Very Negative,-0.5,Aggressive Sales,Critical,Branch,2025-08-19,Escalated,53.0,Self-Employed,Push Notification,False,True
FB30085,CMP16338,General inquiry about the campaign offer.,Neutral,0.16,General Inquiry,Low,Branch,2023-12-12,Open,,IT Professionals,SMS,False,False
FB30086,CMP10223,Email said exclusive offer but everyone got the same. Not really exclusive!,Negative,-0.29,Privacy Concerns,Medium,Social Media,2026-02-15,Resolved,35.0,Premium Card Holders,Call Center,False,False
FB30087,CMP15182,Too many promotional SMS from your bank. Please stop sending these messages!,Negative,-0.19,Technical Issues,Medium,App Review,2024-01-20,Resolved,87.0,High-Value Transactors,Push Notification,False,False
FB30088,CMP19201,Your campaign mentioned free insurance but it had premium after first year.,Negative,-0.01,Wrong Customer Details,High,Call Center,2026-03-06,Closed,83.0,NRI Customers,Email,True,True
FB30089,CMP10688,Too many promotional SMS from your bank. Please stop sending these messages!,Negative,-0.19,Poor Timing,Critical,Branch,2026-01-10,In Progress,72.0,Women Professionals,Push Notification,False,True
FB30090,CMP16360,Promotional message language was different from my preference. Update records!,Negative,-0.11,Unsubscribe Failed,Critical,App Review,2026-03-27,Closed,48.0,Salaried Gen-Z,Push Notification,False,True
FB30091,CMP14678,The EMI calculator in campaign shows different amount than actual EMI.,Negative,-0.07,Poor Timing,High,Call Center,2023-04-02,Closed,11.0,Government Employees,WhatsApp,False,True
FB30092,CMP14806,Your WhatsApp banking is very convenient. Love the quick response!,Positive,0.69,Appreciation,Low,Survey,2024-06-04,Escalated,43.0,High-Value Transactors,Call Center,False,False
FB30093,CMP16392,The offer mentioned in SMS is not applicable to my account. Misleading information!,Very Negative,-0.51,App Issues,High,Call Center,2023-02-05,Resolved,63.0,Women Professionals,Push Notification,False,True
FB30094,CMP15814,General inquiry about the campaign offer.,Neutral,0.27,General Inquiry,Low,Call Center,2024-05-08,Escalated,,Salaried Gen-Z,Push Notification,True,False
FB30095,CMP13726,Great offer on personal loan! Applied and got approval within hours. Impressed!,Positive,0.92,Appreciation,Low,Branch,2025-10-29,Closed,,Self-Employed,WhatsApp,False,False
FB30096,CMP15347,The special rate for existing customers was same as new customer rate. Disappointed!,Very Negative,-0.34,Wrong Customer Details,Medium,App Review,2023-02-22,Open,,Low-Balance Customers,WhatsApp,True,False
FB30097,CMP15698,The EMI calculator in campaign shows different amount than actual EMI.,Negative,-0.01,Unclear Terms,Medium,Branch,2025-04-05,Escalated,,Premium Card Holders,SMS,False,False
FB30098,CMP17176,Keep getting duplicate messages on both SMS and WhatsApp. Very annoying!,Negative,-0.25,Unsubscribe Failed,Medium,Email,2025-11-22,Escalated,163.0,NRI Customers,Email,False,False
FB30099,CMP11301,Campaign offer was exactly as mentioned. No hidden charges. Trustworthy!,Positive,0.71,Appreciation,Low,Branch,2025-02-06,In Progress,7.0,NRI Customers,WhatsApp,True,False
FB30100,CMP19536,Your campaign mentioned free insurance but it had premium after first year.,Negative,-0.17,Poor Timing,High,Social Media,2024-07-17,Escalated,61.0,Government Employees,WhatsApp,False,True
FB30101,CMP17890,General inquiry about the campaign offer.,Neutral,0.09,General Inquiry,Low,App Review,2023-03-18,Escalated,118.0,HNI Customers,WhatsApp,False,False
FB30102,CMP19104,Multiple calls from different executives for same product. Poor coordination!,Negative,-0.21,Wrong Customer Details,High,Social Media,2026-03-05,Resolved,7.0,IT Professionals,WhatsApp,False,True
FB30103,CMP17844,I've already unsubscribed but still receiving marketing calls. Very frustrating!,Very Negative,-0.92,Service Delay,Critical,Branch,2024-07-05,Resolved,3.0,SMB Owners,Push Notification,True,True
FB30104,CMP14667,Multiple calls from different executives for same product. Poor coordination!,Negative,-0.15,Wrong Customer Details,Medium,Email,2024-04-30,In Progress,10.0,Women Professionals,SMS,False,False
FB30105,CMP17485,Credit limit mentioned in message doesn't match my actual approved limit.,Negative,-0.25,Wrong Customer Details,Low,App Review,2025-11-20,Open,153.0,Self-Employed,Email,True,False
FB30106,CMP14917,Campaign offer was exactly as mentioned. No hidden charges. Trustworthy!,Positive,1.0,Appreciation,Low,Survey,2023-06-07,Open,75.0,NRI Customers,Call Center,False,False
FB30107,CMP13374,Received personalized offer matching my needs. Good targeting!,Positive,0.89,Appreciation,Low,Survey,2024-06-09,Closed,97.0,Salaried Gen-Z,Call Center,False,False
FB30108,CMP11737,Promotional message language was different from my preference. Update records!,Negative,-0.14,Technical Issues,Critical,Chatbot,2025-02-04,In Progress,106.0,Senior Citizens,SMS,False,True
FB30109,CMP11203,Received 5 promotional messages today alone. This is harassment!,Negative,-0.19,Unclear Terms,Medium,App Review,2024-08-02,In Progress,121.0,Senior Citizens,WhatsApp,False,False
FB30110,CMP19322,Your executive called me during office hours for loan offer. Very unprofessional!,Very Negative,-0.58,Unsubscribe Failed,High,Call Center,2025-02-21,Escalated,146.0,Women Professionals,WhatsApp,False,True
FB30111,CMP16736,General inquiry about the campaign offer.,Neutral,0.03,General Inquiry,Low,Call Center,2023-03-09,Resolved,122.0,Government Employees,Email,False,False
FB30112,CMP15442,General inquiry about the campaign offer.,Neutral,0.16,General Inquiry,Low,App Review,2025-10-16,Escalated,123.0,Premium Card Holders,SMS,True,False
FB30113,CMP19058,App crashed when I tried to avail the campaign offer. Losing trust!,Negative,-0.17,Wrong Customer Details,Low,App Review,2024-06-04,In Progress,15.0,Dormant Account Holders,SMS,True,False
FB30114,CMP16200,The festive offer on home loan saved me a lot on processing fees. Happy customer!,Positive,0.56,Appreciation,Low,Email,2025-04-29,Closed,103.0,Senior Citizens,Email,True,False
FB30115,CMP12633,The EMI calculator in campaign shows different amount than actual EMI.,Very Negative,-0.65,Poor Timing,Critical,Survey,2023-11-30,Escalated,25.0,SMB Owners,Email,False,True
FB30116,CMP13731,The offer expired but I still received promotional SMS for it. Waste of time!,Negative,-0.18,Duplicate Messages,Medium,Chatbot,2024-01-21,Escalated,,First-Time Borrowers,WhatsApp,False,False
FB30117,CMP15147,Your push notification timing is terrible. Getting messages at midnight!,Negative,-0.02,App Issues,Critical,App Review,2024-09-20,Escalated,168.0,Salaried Gen-Z,Call Center,False,True
FB30118,CMP14527,Great offer on personal loan! Applied and got approval within hours. Impressed!,Positive,0.65,Appreciation,Low,Email,2025-06-23,In Progress,32.0,Salaried Gen-Z,Email,False,False
FB30119,CMP12842,The festive offer on home loan saved me a lot on processing fees. Happy customer!,Positive,0.64,Appreciation,Low,App Review,2023-12-07,In Progress,107.0,IT Professionals,Call Center,True,False
FB30120,CMP10437,Your campaign mentioned free insurance but it had premium after first year.,Negative,-0.02,Service Delay,High,App Review,2023-02-12,Escalated,,Premium Card Holders,Email,True,True
FB30121,CMP12757,The EMI calculator in campaign shows different amount than actual EMI.,Negative,-0.23,App Issues,Low,Social Media,2025-08-24,Closed,127.0,Dormant Account Holders,Call Center,False,False
FB30122,CMP17779,Your executive called me during office hours for loan offer. Very unprofessional!,Negative,-0.1,Aggressive Sales,Medium,Call Center,2025-11-24,Closed,77.0,NRI Customers,Email,False,False
FB30123,CMP13414,Your WhatsApp banking is very convenient. Love the quick response!,Positive,0.53,Appreciation,Low,Chatbot,2025-01-29,Closed,127.0,Healthcare Workers,WhatsApp,True,False
FB30124,CMP16819,General inquiry about the campaign offer.,Neutral,0.03,General Inquiry,Low,Social Media,2023-12-06,In Progress,27.0,Self-Employed,WhatsApp,False,False
FB30125,CMP18472,App crashed when I tried to avail the campaign offer. Losing trust!,Very Negative,-0.55,Duplicate Messages,High,App Review,2024-06-06,Resolved,35.0,NRI Customers,Call Center,False,True
FB30126,CMP13200,Keep getting duplicate messages on both SMS and WhatsApp. Very annoying!,Very Negative,-0.75,Spam/Excessive Messages,Critical,App Review,2025-03-24,Resolved,29.0,First-Time Borrowers,Push Notification,False,True
FB30127,CMP15162,The special rate for existing customers was same as new customer rate. Disappointed!,Very Negative,-0.85,Unclear Terms,Medium,Social Media,2024-09-06,Closed,78.0,Existing Loan Customers,SMS,False,False
FB30128,CMP19714,Your app showed pre-approved loan but branch rejected. False advertising!,Very Negative,-0.99,Aggressive Sales,Low,Chatbot,2024-07-04,Escalated,142.0,Dormant Account Holders,SMS,False,False
FB30129,CMP16375,Your WhatsApp Business messages are too frequent. Considering blocking!,Very Negative,-0.75,Misleading Information,Critical,Social Media,2023-12-13,Open,104.0,Existing Loan Customers,Email,True,True
FB30130,CMP18906,Promotional message language was different from my preference. Update records!,Very Negative,-0.53,Service Delay,Medium,Chatbot,2023-08-21,In Progress,36.0,Dormant Account Holders,Push Notification,False,False
FB30131,CMP11188,The offer mentioned in SMS is not applicable to my account. Misleading information!,Negative,-0.0,Misleading Information,Critical,Branch,2024-10-12,Resolved,146.0,Self-Employed,Email,False,True
FB30132,CMP14847,The festive offer on home loan saved me a lot on processing fees. Happy customer!,Positive,0.31,Appreciation,Low,Social Media,2024-06-24,Resolved,62.0,SMB Owners,Email,True,False
FB30133,CMP12927,Loan processing fee was higher than mentioned in campaign. Please clarify!,Negative,-0.08,Technical Issues,Medium,Survey,2025-01-10,In Progress,15.0,Premium Card Holders,WhatsApp,False,False
FB30134,CMP12236,Your WhatsApp banking is very convenient. Love the quick response!,Positive,0.31,Appreciation,Low,Branch,2025-12-08,Closed,,Salaried Millennials,SMS,False,False
FB30135,CMP15021,Campaign said instant approval but waiting for 5 days now. False promise!,Very Negative,-0.42,Wrong Customer Details,Critical,Chatbot,2024-04-20,Escalated,108.0,Salaried Millennials,Call Center,False,True
FB30136,CMP17069,App crashed when I tried to avail the campaign offer. Losing trust!,Negative,-0.04,Wrong Customer Details,Medium,Call Center,2025-06-22,In Progress,,Mass Affluent,Push Notification,True,False
FB30137,CMP15301,Timely SMS about FD rate increase helped me invest at the right time. Thanks!,Positive,0.51,Appreciation,Low,Email,2025-07-19,Resolved,80.0,SMB Owners,Call Center,True,False
FB30138,CMP16448,Your WhatsApp Business messages are too frequent. Considering blocking!,Very Negative,-0.48,Duplicate Messages,High,Survey,2023-10-19,In Progress,12.0,Dormant Account Holders,Email,False,True
FB30139,CMP13544,Your campaign mentioned free insurance but it had premium after first year.,Negative,-0.29,Unclear Terms,Low,Branch,2023-12-10,Open,,Salaried Gen-Z,WhatsApp,False,False
FB30140,CMP10741,General inquiry about the campaign offer.,Neutral,0.04,General Inquiry,Low,Email,2025-10-17,Closed,22.0,Salaried Gen-Z,Call Center,True,False
FB30141,CMP14922,The cashback promised in campaign never got credited. Follow up required.,Very Negative,-0.69,Irrelevant Offers,Critical,Email,2023-06-06,In Progress,61.0,Existing Loan Customers,Push Notification,False,True
FB30142,CMP17021,The offer expired but I still received promotional SMS for it. Waste of time!,Negative,-0.08,Wrong Customer Details,High,Email,2025-03-11,Escalated,,Existing Loan Customers,Push Notification,True,True
FB30143,CMP19905,General inquiry about the campaign offer.,Neutral,0.15,General Inquiry,Low,App Review,2026-02-04,Closed,110.0,Salaried Millennials,Push Notification,True,False
FB30144,CMP15149,General inquiry about the campaign offer.,Neutral,0.1,General Inquiry,Low,App Review,2023-02-07,Open,,IT Professionals,Push Notification,False,False
FB30145,CMP10007,Multiple calls from different executives for same product. Poor coordination!,Very Negative,-0.43,Wrong Customer Details,Low,Chatbot,2024-06-11,Escalated,,Premium Card Holders,SMS,False,False
FB30146,CMP15767,Multiple calls from different executives for same product. Poor coordination!,Very Negative,-0.83,Duplicate Messages,Critical,Email,2025-04-06,In Progress,66.0,SMB Owners,SMS,True,True
FB30147,CMP15235,The offer expired but I still received promotional SMS for it. Waste of time!,Negative,-0.01,Privacy Concerns,Critical,Branch,2023-08-20,Escalated,,Government Employees,SMS,False,True
FB30148,CMP10498,Received 5 promotional messages today alone. This is harassment!,Negative,-0.22,Wrong Customer Details,High,Branch,2026-01-03,Resolved,,Dormant Account Holders,WhatsApp,False,True
FB30149,CMP12872,Your app showed pre-approved loan but branch rejected. False advertising!,Very Negative,-0.52,Poor Timing,Medium,App Review,2023-11-26,Resolved,66.0,Premium Card Holders,Call Center,False,False
FB30150,CMP15761,Campaign offer was exactly as mentioned. No hidden charges. Trustworthy!,Positive,0.63,Appreciation,Low,App Review,2025-09-06,Escalated,150.0,High-Value Transactors,Call Center,False,False
FB30151,CMP18403,Credit limit mentioned in message doesn't match my actual approved limit.,Negative,-0.0,Aggressive Sales,Low,Branch,2025-04-14,Escalated,50.0,Existing Loan Customers,Email,False,False
